EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
1,28,6,Yes,$24.37 ,40,Salary,50689.6,89,Research,Female,Married,3.0,7.0,Mail Check,Yes
2,33,2,Yes,$24.37 ,40,Salary,50689.6,89,Research,Female,Married,6.0,7.0,Mail Check,Yes
3,22,1,No,$22.52 ,40,Salary,46841.6,35,Information_Technology,Female,Single,1.0,8.0,Mail Check,Yes
7,34,6,No,$28.43 ,40,Salary,59134.4,0,Human_Resources,Male,Single,2.0,23.0,Mail Check,Yes
8,37,9,Yes,$28.43 ,40,Salary,59134.4,0,Human_Resources,Male,Single,1.0,25.0,Mail Check,Yes
10,24,1,Yes,$21.87 ,40,Salary,45489.6,76,Human_Resources,Female,Single,2.0,9.0,Mail Check,Yes
11,30,3,Yes,$29.54 ,40,Salary,61443.2,15,Laboratory,Female,Divorced,3.0,6.0,Mail Check,Yes
12,34,8,Yes,$29.54 ,40,Salary,61443.2,15,Laboratory,Female,Divorced,1.0,6.0,Mail Check,Yes
14,47,16,Yes,$85.24 ,40,Salary,177299.2,2,Research,Male,Single,5.0,5.0,Mail Check,Yes
15,30,2,Yes,$30.42 ,40,Salary,63273.6,36,Information_Technology,Female,Married,2.0,6.0,Mail Check,Yes
16,38,1,No,$30.42 ,40,Salary,63273.6,36,Information_Technology,Female,Married,3.0,5.0,Mail Check,Yes
17,55,20,Yes,$88.50 ,40,Salary,284080.0,60,Information_Technology,Prefer Not to Answer,Married,7.0,9.0,Mail Check,Yes
20,35,10,No,$24.30 ,40,Salary,50544.0,2,Sales,Female,Married,5.0,15.0,Mail Check,Yes
22,37,7,Yes,$26.28 ,40,Salary,54662.4,14,Research,Female,Married,5.0,15.0,Direct Deposit,Yes
23,44,9,No,$87.22 ,40,Salary,281417.6,75,Manufacturing,Female,Divorced,2.0,16.0,Mail Check,Yes
24,54,15,No,$87.22 ,40,Salary,281417.6,75,Manufacturing,Female,Divorced,7.0,24.0,Mail Check,Yes
25,36,3,Yes,$87.20 ,40,Salary,281376.0,5,Research,Female,Married,1.0,10.0,Direct Deposit,Yes
27,32,6,No,$31.02 ,40,Salary,64521.6,910,Research,Female,Married,1.0,18.0,Mail Check,Yes
28,32,5,No,$31.02 ,40,Salary,64521.6,910,Research,Female,Married,2.0,11.0,Mail Check,Yes
29,41,7,No,$89.40 ,40,Salary,285952.0,28,Healthcare,Prefer Not to Answer,Single,6.0,20.0,Mail Check,Yes
31,30,1,No,$24.50 ,40,Salary,50960.0,4,Human_Resources,Female,Divorced,3.0,17.0,Mail Check,Yes
33,38,8,No,$88.78 ,40,Salary,284662.4,0,Laboratory,Prefer Not to Answer,Divorced,1.0,21.0,Mail Check,Yes
34,56,8,No,$88.78 ,40,Salary,284662.4,0,Laboratory,Prefer Not to Answer,Divorced,3.0,25.0,Mail Check,Yes
35,28,4,No,$25.14 ,40,Salary,52291.2,910,Laboratory,Female,Married,2.0,12.0,Mail Check,Yes
36,35,6,Yes,$25.14 ,40,Salary,52291.2,910,Laboratory,Female,Married,6.0,7.0,Mail Check,Yes
38,44,10,No,$85.44 ,40,Salary,177715.2,33,Sales,Female,Single,7.0,19.0,Mail Check,Yes
40,37,9,No,$29.21 ,40,Salary,60756.8,79,Laboratory,Female,Divorced,4.0,22.0,Direct Deposit,Yes
41,30,1,No,$23.86 ,40,Salary,49628.8,50,Marketing,Female,Single,1.0,12.0,Mail Check,Yes
42,30,8,Yes,$23.86 ,40,Salary,49628.8,50,Marketing,Female,Single,2.0,21.0,Mail Check,Yes
43,21,1,Yes,$22.24 ,40,Salary,5259.2,13,Research,Female,Single,3.0,12.0,Direct Deposit,Yes
44,23,1,Yes,$22.24 ,40,Salary,5259.2,13,Research,Female,Married,2.0,11.0,Direct Deposit,Yes
45,36,8,No,$84.70 ,40,Salary,176176.0,75,Manufacturing,Prefer Not to Answer,Divorced,6.0,9.0,Mail Check,Yes
47,36,1,Yes,$26.48 ,40,Salary,55078.4,57,Sales,Female,Divorced,6.0,24.0,Direct Deposit,Yes
48,38,3,Yes,$26.48 ,40,Salary,55078.4,57,Sales,Female,Divorced,1.0,10.0,Direct Deposit,Yes
49,36,2,Yes,$28.30 ,40,Salary,58864.0,82,Sales,Female,Married,2.0,24.0,Mail Check,Yes
50,40,8,No,$28.30 ,40,Salary,58864.0,82,Sales,Female,Married,5.0,14.0,Mail Check,Yes
51,27,3,Yes,$22.72 ,40,Salary,47257.6,4,Information_Technology,Male,Single,2.0,5.0,Mail Check,Yes
52,32,3,Yes,$22.72 ,40,Salary,47257.6,4,Information_Technology,Male,Single,3.0,14.0,Mail Check,Yes
53,44,18,No,$87.00 ,40,Salary,280960.0,42,Manufacturing,Prefer Not to Answer,Divorced,7.0,13.0,Mail Check,Yes
55,44,16,No,$31.30 ,40,Salary,15896.0,5,Marketing,Male,Divorced,8.0,22.0,Mail Check,Yes
56,50,8,No,$31.30 ,40,Salary,15896.0,5,Marketing,Male,Divorced,5.0,10.0,Mail Check,Yes
58,33,5,Yes,$26.33 ,40,Salary,54766.4,60,Healthcare,Male,Single,3.0,17.0,Mail Check,Yes
60,48,17,Yes,$89.35 ,40,Salary,285848.0,64,Healthcare,Prefer Not to Answer,Single,1.0,6.0,Mail Check,Yes
64,39,1,No,$26.14 ,40,Salary,54371.2,36,Manufacturing,Female,Divorced,2.0,11.0,Mail Check,Yes
65,30,3,Yes,$29.49 ,40,Salary,28660.8,8,Marketing,Female,Married,1.0,19.0,Mail Check,Yes
