time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2024-01-01,3.9,0.3,7.5,0.0,0.0,,0.9,,1022.6,,Seattle
2024-01-02,5.3,3.0,6.9,6.1,0.0,,1.2,,1014.8,,Seattle
2024-01-03,6.9,3.6,9.7,2.5,0.0,,7.5,,1015.7,,Seattle
2024-01-04,6.9,4.7,8.0,3.6,0.0,,8.2,,1020.8,,Seattle
2024-01-05,6.9,4.7,8.0,5.8,0.0,,17.8,,1021.7,,Seattle
2024-01-06,5.0,3.0,6.4,10.7,0.0,,8.1,,1008.6,,Seattle
2024-01-07,3.9,2.5,5.3,2.8,0.0,,4.4,,1017.8,,Seattle
2024-01-08,4.4,3.0,9.7,18.8,0.0,,12.7,,1015.0,,Seattle
2024-01-09,6.4,4.7,9.7,6.9,0.0,,23.3,,1002.5,,Seattle
2024-01-10,3.6,1.9,5.8,0.8,0.0,,13.3,,1005.6,,Seattle
2024-01-11,2.1,-3.1,5.8,0.0,0.0,,10.5,,1010.2,,Seattle
2024-01-12,-6.4,-8.1,-3.1,0.0,0.0,,12.3,,1023.1,,Seattle
2024-01-13,-7.6,-10.3,-4.7,0.0,0.0,,2.5,,1015.5,,Seattle
2024-01-14,-5.2,-9.2,-0.9,0.0,0.0,,2.7,,1022.8,,Seattle
2024-01-15,-3.0,-7.5,1.9,0.0,0.0,,1.9,,1028.2,,Seattle
2024-01-16,-1.5,-5.9,2.5,1.9,0.0,,1.9,,1014.9,,Seattle
2024-01-17,0.7,-0.9,2.5,7.1,0.0,,5.0,,1003.7,,Seattle
2024-01-18,2.3,1.4,2.5,9.7,0.0,,2.0,,1018.8,,Seattle
2024-01-19,4.8,2.5,8.0,0.5,0.0,,3.3,,1012.9,,Seattle
2024-01-20,4.9,1.4,8.6,6.6,0.0,,3.8,,1001.8,,Seattle
2024-01-21,6.7,5.3,8.6,11.7,0.0,,5.1,,999.0,,Seattle
2024-01-22,8.1,6.4,10.8,10.9,0.0,,6.6,,1000.6,,Seattle
2024-01-23,8.5,4.7,11.9,0.3,0.0,,10.5,,1011.6,,Seattle
2024-01-24,7.4,4.7,10.8,10.2,0.0,,9.2,,1008.5,,Seattle
2024-01-25,8.0,5.3,10.3,4.3,0.0,,12.8,,1017.3,,Seattle
2024-01-26,8.6,6.4,11.9,9.7,0.0,,5.9,,1019.1,,Seattle
2024-01-27,10.5,8.6,12.5,18.3,0.0,,10.3,,1017.1,,Seattle
2024-01-28,13.0,10.3,15.3,13.2,0.0,,8.8,,1018.6,,Seattle
2024-01-29,12.0,8.6,14.7,0.0,0.0,,5.2,,1015.3,,Seattle
2024-01-30,12.0,10.3,14.1,0.5,0.0,,3.3,,1011.1,,Seattle
2024-01-31,11.6,10.3,13.0,3.0,0.0,,4.3,,998.3,,Seattle
2024-02-01,10.7,8.0,14.1,2.3,0.0,,7.9,,998.4,,Seattle
2024-02-02,8.5,5.8,12.5,0.0,0.0,,6.2,,1005.7,,Seattle
2024-02-03,6.6,3.0,9.7,0.0,0.0,,3.2,,1016.2,,Seattle
2024-02-04,7.3,5.8,9.7,0.0,0.0,,7.1,,1011.7,,Seattle
2024-02-05,6.4,5.3,7.5,3.6,0.0,,4.8,,1003.2,,Seattle
2024-02-06,5.9,5.3,7.5,5.1,0.0,,3.4,,1007.9,,Seattle
2024-02-07,6.6,4.1,9.7,0.0,0.0,,4.2,,1007.6,,Seattle
2024-02-08,6.3,5.3,8.0,3.3,0.0,,6.3,,1015.3,,Seattle
2024-02-09,5.1,2.5,8.0,0.0,0.0,,4.5,,1021.7,,Seattle
2024-02-10,5.5,0.8,9.7,0.0,0.0,,2.0,,1023.5,,Seattle
2024-02-11,7.9,5.8,11.9,7.4,0.0,,10.5,,1017.3,,Seattle
2024-02-12,7.6,5.8,9.1,7.9,0.0,,8.4,,1019.9,,Seattle
2024-02-13,6.8,4.1,9.1,0.0,0.0,,4.7,,1019.0,,Seattle
