time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,-8.9,-10.7,-7.3,0.0,61.0,,5.7,,1013.7,
2024-01-02,-7.9,-11.2,-5.7,0.0,58.0,,7.4,,1007.8,
2024-01-03,-5.6,-12.3,-1.8,0.0,58.0,,10.1,,992.7,
2024-01-04,-3.9,-5.1,-2.9,5.0,58.0,,9.5,,985.8,
2024-01-05,-6.3,-9.5,-4.5,0.0,64.0,,5.2,,999.7,
2024-01-06,-7.4,-12.3,-2.9,0.0,61.0,,7.7,,1009.0,
2024-01-07,-2.4,-4.5,-0.1,12.7,61.0,,8.1,,997.7,
2024-01-08,-6.0,-8.4,-0.7,1.1,71.0,,4.0,,1001.6,
2024-01-09,-7.3,-11.2,-5.1,0.0,69.0,,1.8,,1010.5,
2024-01-10,-8.4,-9.5,-6.8,0.0,69.0,,5.0,,1019.5,
2024-01-11,-7.7,-9.5,-6.8,0.0,66.0,,9.6,,1020.9,
2024-01-12,-6.3,-9.0,-4.5,0.0,66.0,,4.7,,1018.8,
2024-01-13,-7.7,-11.8,-4.5,0.0,64.0,,4.9,,1007.8,
2024-01-14,-1.5,-6.8,1.6,2.4,64.0,,11.8,,1009.4,
2024-01-15,-8.8,-10.7,-6.2,0.0,64.0,,1.6,,1029.0,
2024-01-16,-11.7,-14.0,-9.5,0.0,64.0,,4.1,,1033.8,
2024-01-17,-9.7,-16.2,-2.3,0.0,64.0,,11.3,,1033.0,
2024-01-18,-8.1,-14.5,-2.9,0.0,64.0,,11.8,,1027.0,
2024-01-19,-13.2,-17.9,-6.8,0.0,64.0,,7.4,,1014.9,
2024-01-20,-11.9,-15.7,-7.9,0.0,64.0,,5.4,,1003.9,
2024-01-21,-12.7,-16.2,-9.5,0.0,61.0,,17.3,,1001.1,
2024-01-22,-18.5,-22.3,-15.1,0.0,61.0,,11.4,,999.0,
2024-01-23,-19.5,-22.9,-14.0,0.0,61.0,,2.0,,1000.8,
2024-01-24,-17.2,-20.1,-14.0,0.0,61.0,,2.7,,1005.4,
2024-01-25,-18.3,-21.2,-15.7,0.0,61.0,,2.4,,1007.4,
2024-01-26,-17.8,-20.7,-15.7,0.0,61.0,,7.8,,1000.2,
2024-01-27,-20.0,-25.1,-17.3,0.0,58.0,,7.9,,993.4,
2024-01-28,-18.0,-19.0,-16.8,6.8,58.0,,7.3,,986.1,
2024-01-29,-13.8,-16.8,-10.7,6.7,84.0,,8.4,,975.3,
2024-01-30,-15.8,-17.9,-14.5,1.4,94.0,,5.9,,1002.2,
2024-01-31,-21.5,-26.8,-17.3,0.0,94.0,,6.2,,1014.4,
2024-02-01,-21.7,-26.8,-19.0,0.0,89.0,,3.4,,1013.9,
2024-02-02,-23.6,-26.2,-20.1,0.0,86.0,,5.4,,1016.2,
2024-02-03,-22.8,-27.9,-17.3,1.5,84.0,,9.4,,1017.8,
2024-02-04,-13.6,-17.3,-10.7,3.7,86.0,,11.2,,1012.3,
2024-02-05,-8.1,-14.5,-1.2,0.0,97.0,,7.8,,1008.9,
2024-02-06,-5.4,-8.4,-1.8,0.0,91.0,,4.3,,1012.3,
2024-02-07,-4.3,-7.3,3.2,0.0,91.0,,6.5,,1009.7,
2024-02-08,-5.3,-9.0,-3.4,0.0,89.0,,6.6,,1008.0,
2024-02-09,-2.6,-4.5,-0.1,0.0,84.0,,10.1,,988.2,
2024-02-10,2.1,-2.3,4.3,0.0,84.0,,14.1,,991.8,
2024-02-11,-2.1,-6.2,1.6,0.0,84.0,,6.6,,1002.5,
2024-02-12,-2.0,-5.1,3.8,0.0,81.0,,7.2,,1011.7,
2024-02-13,3.3,1.0,6.6,0.0,79.0,,14.7,,1015.6,
2024-02-14,0.8,-6.2,6.0,0.0,79.0,,8.5,,1016.2,
2024-02-15,-4.4,-8.4,-1.2,0.0,76.0,,5.0,,1015.0,
2024-02-16,-6.3,-10.7,-0.1,0.0,76.0,,5.4,,1015.4,
2024-02-17,-5.9,-10.1,-3.4,0.0,76.0,,5.6,,1009.8,
2024-02-18,-1.7,-4.0,0.5,0.0,76.0,,4.9,,1006.1,
2024-02-19,1.8,-2.3,7.7,0.0,76.0,,12.9,,999.4,
2024-02-20,4.3,2.7,7.7,0.6,71.0,,15.8,,992.0,
2024-02-21,2.2,-0.1,4.9,1.0,66.0,,17.8,,1002.4,
2024-02-22,0.7,-1.8,4.9,3.1,66.0,,25.0,,998.0,
2024-02-23,-2.4,-6.2,-0.1,0.0,71.0,,8.5,,1012.2,
2024-02-24,-4.6,-9.5,-3.4,4.4,66.0,,7.3,,1010.1,
2024-02-25,-9.6,-13.4,-5.7,0.0,79.0,,5.2,,1018.5,
2024-02-26,-11.1,-15.1,-8.4,0.0,79.0,,9.6,,1008.1,
2024-02-27,-7.7,-9.5,-5.1,0.0,76.0,,15.0,,992.2,
2024-02-28,-10.5,-12.3,-8.4,0.0,76.0,,31.3,,995.7,
2024-02-29,-11.3,-12.9,-9.0,0.0,71.0,,27.2,,1002.5,
2024-03-01,-11.5,-14.0,-8.4,0.0,71.0,,29.8,,1010.6,
2024-03-02,-10.6,-14.0,-5.7,0.0,71.0,,19.8,,1016.3,
2024-03-03,-11.6,-16.8,-7.3,0.0,71.0,,4.5,,1018.4,
2024-03-04,-7.5,-9.0,-5.7,1.3,71.0,,11.6,,1015.9,
2024-03-05,-4.6,-7.3,-1.8,0.0,71.0,,12.8,,1008.3,
2024-03-06,-2.6,-5.1,-0.7,0.0,71.0,,4.9,,1000.1,
2024-03-07,-2.2,-4.5,1.0,0.0,71.0,,6.5,,998.4,
2024-03-08,-4.3,-9.5,-0.1,0.0,69.0,,4.1,,989.7,
2024-03-09,-7.1,-12.3,-3.4,0.0,69.0,,3.7,,989.8,
2024-03-10,-6.9,-9.0,-4.5,0.8,71.0,,9.1,,985.5,
2024-03-11,-6.7,-10.7,-4.0,0.0,74.0,,9.7,,987.6,
2024-03-12,-2.5,-6.2,1.6,0.0,74.0,,5.5,,987.0,
2024-03-13,-1.0,-4.5,2.1,0.0,71.0,,6.5,,1004.7,
2024-03-14,-3.2,-9.0,1.6,0.0,71.0,,5.8,,1011.0,
2024-03-15,-4.3,-9.0,-0.7,0.0,71.0,,5.5,,1016.1,
2024-03-16,-3.1,-4.5,-1.8,2.1,69.0,,9.0,,1002.4,
2024-03-17,-1.0,-2.3,1.0,0.0,71.0,,3.9,,1005.5,
2024-03-18,-1.1,-3.4,-0.1,0.7,71.0,,5.4,,1022.3,
2024-03-19,-2.2,-5.7,1.6,0.0,74.0,,1.5,,1029.2,
2024-03-20,-1.8,-6.8,2.1,0.0,71.0,,2.1,,1025.0,
2024-03-21,-0.2,-3.4,4.3,0.0,69.0,,2.9,,1020.5,
2024-03-22,0.6,-4.0,6.0,0.0,69.0,,5.6,,1016.5,
2024-03-23,1.1,-1.2,3.2,0.1,66.0,,3.7,,1007.0,
2024-03-24,2.5,1.0,4.3,0.0,66.0,,3.6,,995.4,
2024-03-25,2.3,0.5,4.3,0.7,64.0,,2.6,,996.0,
2024-03-26,2.6,0.5,5.5,4.5,64.0,,3.4,,1005.0,
2024-03-27,1.0,-0.1,2.1,0.3,61.0,,2.2,,1010.1,
2024-03-28,0.9,-1.2,3.2,0.0,58.0,,4.9,,1012.5,
2024-03-29,0.9,-3.4,4.9,0.0,58.0,,9.1,,1007.5,
2024-03-30,1.4,0.5,4.3,4.6,56.0,,11.3,,994.4,
2024-03-31,1.2,-1.2,3.8,1.4,53.0,,22.0,,995.3,
2024-04-01,0.5,-1.8,4.3,1.3,53.0,,8.4,,999.4,
2024-04-02,-4.4,-6.8,-1.2,0.0,64.0,,8.1,,1013.5,
2024-04-03,-2.9,-7.3,0.5,0.0,58.0,,4.9,,1022.7,
2024-04-04,-1.1,-3.4,1.0,4.7,56.0,,9.4,,1015.0,
2024-04-05,-1.1,-2.9,-0.1,0.4,58.0,,5.8,,1005.8,
2024-04-06,-0.4,-5.7,2.7,0.0,58.0,,5.3,,999.1,
2024-04-07,0.0,-4.5,3.8,0.0,56.0,,8.4,,996.9,
2024-04-08,-0.4,-4.5,3.2,0.0,53.0,,3.3,,995.3,
2024-04-09,-0.2,-3.4,2.7,1.6,53.0,,10.7,,1001.7,
2024-04-10,-0.1,-3.4,3.2,1.2,56.0,,4.3,,1011.0,
2024-04-11,1.9,-1.2,4.3,0.0,56.0,,16.9,,1007.3,
2024-04-12,2.0,0.5,3.2,1.2,56.0,,20.0,,1000.1,
2024-04-13,0.8,-2.3,4.9,0.0,53.0,,4.6,,1008.2,
2024-04-14,1.1,-1.8,3.8,0.0,51.0,,9.6,,1021.7,
2024-04-15,1.0,-5.1,6.0,0.0,46.0,,5.0,,1028.3,
2024-04-16,3.4,-2.9,7.1,0.0,41.0,,10.2,,1030.7,
2024-04-17,0.9,-1.2,3.2,0.0,36.0,,5.4,,1026.3,
2024-04-18,3.7,1.0,5.5,0.0,33.0,,8.0,,1026.1,
2024-04-19,4.1,2.1,7.1,0.0,30.0,,4.4,,1021.8,
2024-04-20,5.8,1.0,12.7,0.0,28.0,,6.6,,1013.0,
2024-04-21,4.3,0.5,8.2,0.0,25.0,,6.7,,1010.1,
2024-04-22,4.9,0.5,8.2,0.0,23.0,,6.9,,1018.2,
2024-04-23,5.8,1.6,10.5,0.0,15.0,,4.5,,1013.6,
2024-04-24,5.5,-0.7,12.1,0.0,8.0,,3.2,,1011.4,
2024-04-25,6.4,0.5,12.1,0.0,0.0,,10.5,,1012.9,
2024-04-26,7.3,3.2,11.6,0.4,0.0,,9.6,,1010.7,
2024-04-27,7.3,1.0,13.8,0.0,0.0,,9.8,,1004.0,
2024-04-28,8.4,2.7,13.2,0.0,0.0,,5.8,,1006.8,
2024-04-29,7.7,4.3,11.6,0.0,0.0,,8.8,,1014.6,
2024-04-30,6.3,3.8,8.8,0.0,0.0,,10.3,,1017.0,
2024-05-01,7.6,4.3,11.0,0.0,0.0,,12.1,,1018.5,
2024-05-02,6.8,3.8,9.9,0.0,0.0,,4.3,,1015.6,
2024-05-03,6.4,3.8,8.2,0.0,0.0,,4.7,,1008.0,
2024-05-04,6.5,3.8,9.3,0.1,0.0,,6.8,,995.3,
2024-05-05,7.6,2.7,12.1,0.0,0.0,,6.3,,991.0,
2024-05-06,5.6,4.3,7.7,5.5,0.0,,13.3,,998.4,
2024-05-07,5.7,0.5,11.0,0.0,0.0,,8.3,,1004.2,
2024-05-08,5.3,0.5,10.5,4.0,0.0,,6.7,,1007.1,
2024-05-09,2.1,-0.1,4.3,5.8,3.0,,10.1,,1012.1,
2024-05-10,4.4,-0.7,8.2,0.0,0.0,,8.6,,1015.1,
2024-05-11,5.3,3.8,6.6,0.0,0.0,,8.8,,1003.7,
2024-05-12,6.5,3.8,10.5,0.0,0.0,,11.1,,1003.0,
2024-05-13,7.4,2.1,11.6,0.0,0.0,,4.7,,1008.3,
2024-05-14,9.2,4.9,13.2,0.0,0.0,,8.4,,1013.2,
2024-05-15,8.0,3.8,11.0,0.0,0.0,,9.9,,1015.6,
2024-05-16,7.1,4.9,10.5,0.0,0.0,,9.5,,1016.1,
2024-05-17,8.4,6.0,11.0,0.0,0.0,,7.9,,1017.6,
2024-05-18,9.0,6.0,13.2,0.0,0.0,,11.1,,1016.0,
2024-05-19,8.6,6.0,12.1,0.2,0.0,,9.1,,1009.9,
2024-05-20,10.0,6.6,13.8,0.0,0.0,,9.4,,1015.5,
2024-05-21,8.8,7.1,10.5,3.4,0.0,,14.4,,1014.7,
2024-05-22,8.5,7.1,11.0,0.7,0.0,,12.0,,1010.3,
2024-05-23,8.0,4.3,12.7,1.7,0.0,,9.5,,1012.0,
2024-05-24,8.3,5.5,11.6,1.0,0.0,,6.3,,1006.7,
2024-05-25,10.8,7.7,14.9,0.0,0.0,,7.3,,1002.2,
2024-05-26,11.1,8.8,14.3,0.0,0.0,,10.1,,1003.4,
2024-05-27,9.9,7.7,12.7,5.8,0.0,,6.7,,1009.8,
2024-05-28,10.7,8.2,13.8,0.0,0.0,,8.2,,1011.9,
2024-05-29,10.3,8.2,13.2,0.6,0.0,,13.7,,1015.0,
2024-05-30,10.3,6.0,13.2,0.0,0.0,,12.9,,1018.2,
2024-05-31,10.7,4.9,15.5,0.0,0.0,,9.6,,1008.3,
2024-06-01,11.5,9.3,13.2,0.0,0.0,,8.6,,999.7,
2024-06-02,10.8,6.0,15.5,0.0,0.0,,7.8,,996.2,
2024-06-03,12.1,8.8,16.0,0.0,0.0,,7.7,,991.4,
2024-06-04,12.5,7.1,17.1,0.0,0.0,,7.4,,991.9,
2024-06-05,10.5,8.2,12.7,11.9,0.0,,12.5,,999.0,
2024-06-06,10.9,8.8,13.8,0.1,0.0,,12.4,,1013.9,
2024-06-07,11.4,8.2,14.3,0.0,0.0,,10.5,,1022.5,
2024-06-08,13.1,9.3,18.2,0.0,0.0,,7.7,,1011.5,
2024-06-09,14.3,11.6,17.1,0.0,0.0,,15.9,,1008.7,
2024-06-10,13.2,10.5,16.6,1.6,0.0,,9.1,,1007.6,
2024-06-11,11.1,8.8,12.1,8.7,0.0,,10.1,,1008.4,
2024-06-12,10.3,7.7,12.7,0.0,0.0,,7.4,,1018.5,
2024-06-13,11.8,8.8,14.9,0.0,0.0,,8.6,,1023.0,
2024-06-14,14.1,7.7,19.9,0.0,0.0,,5.5,,1018.8,
2024-06-15,18.2,11.6,24.9,0.0,0.0,,3.8,,1017.3,
2024-06-16,16.3,12.7,19.9,0.0,0.0,,8.7,,1018.9,
2024-06-17,13.3,9.9,16.6,0.0,0.0,,8.6,,1017.7,
2024-06-18,12.3,9.3,15.5,0.0,0.0,,10.2,,1017.4,
2024-06-19,12.7,8.2,18.8,0.0,0.0,,7.9,,1017.6,
2024-06-20,13.2,9.9,18.8,0.0,0.0,,7.5,,1015.5,
2024-06-21,16.6,9.9,22.1,0.0,0.0,,5.4,,1010.5,
2024-06-22,18.8,12.7,24.9,0.0,0.0,,6.9,,1006.9,
2024-06-23,20.2,15.5,25.5,0.2,0.0,,7.7,,1006.8,
2024-06-24,17.4,14.3,19.9,0.0,0.0,,12.5,,1013.9,
2024-06-25,15.8,12.7,21.0,0.0,0.0,,9.7,,1018.3,
2024-06-26,14.6,12.1,19.3,0.0,0.0,,10.2,,1015.1,
2024-06-27,14.7,11.6,18.2,0.0,0.0,,8.3,,1012.8,
2024-06-28,14.6,11.0,17.1,0.0,0.0,,6.8,,1013.3,
2024-06-29,17.1,12.1,22.7,0.0,0.0,,6.9,,1010.5,
2024-06-30,16.7,14.3,20.5,2.2,0.0,,9.7,,1011.0,
2024-07-01,15.1,13.2,17.1,0.0,0.0,,14.4,,1017.2,
2024-07-02,14.3,11.6,18.2,0.0,0.0,,8.2,,1025.0,
2024-07-03,13.9,12.1,17.1,0.0,0.0,,10.1,,1028.3,
2024-07-04,14.5,12.1,16.6,0.2,0.0,,9.3,,1026.2,
2024-07-05,15.1,13.8,17.1,0.0,0.0,,16.8,,1023.0,
2024-07-06,14.0,13.2,14.9,3.9,0.0,,19.6,,1020.6,
2024-07-07,13.8,11.6,16.0,0.0,0.0,,13.3,,1019.3,
2024-07-08,14.5,12.1,17.1,0.0,0.0,,9.1,,1015.3,
2024-07-09,14.1,12.1,17.7,1.6,0.0,,9.0,,1008.7,
2024-07-10,15.8,12.7,19.3,1.1,0.0,,8.9,,1007.1,
2024-07-11,15.0,13.2,18.8,14.7,0.0,,15.9,,1013.3,
2024-07-12,14.5,11.6,17.7,2.3,0.0,,11.9,,1012.4,
2024-07-13,11.8,11.0,13.2,28.0,0.0,,10.4,,1003.7,
2024-07-14,11.1,9.9,12.1,22.5,0.0,,6.8,,1001.9,
2024-07-15,12.7,9.3,16.6,5.0,0.0,,7.4,,1009.7,
2024-07-16,11.4,9.9,12.7,8.8,0.0,,7.9,,1012.6,
2024-07-17,12.3,9.9,15.5,1.9,0.0,,8.5,,1012.6,
2024-07-18,11.9,9.9,14.3,8.5,0.0,,5.5,,1017.1,
2024-07-19,14.5,9.9,19.9,0.0,0.0,,4.5,,1021.0,
2024-07-20,17.7,11.0,23.8,0.0,0.0,,6.2,,1021.1,
2024-07-21,16.9,13.2,21.0,0.0,0.0,,6.2,,1020.2,
2024-07-22,16.1,13.8,18.8,0.3,0.0,,10.4,,1016.6,
2024-07-23,14.5,12.7,16.0,3.8,0.0,,7.2,,1018.4,
2024-07-24,16.1,13.8,19.9,0.0,0.0,,5.3,,1016.8,
2024-07-25,15.6,13.2,18.8,0.1,0.0,,6.0,,1018.4,
2024-07-26,14.4,13.2,16.6,11.6,0.0,,15.5,,1010.5,
2024-07-27,14.4,11.6,17.7,0.0,0.0,,12.1,,1007.5,
2024-07-28,14.0,11.6,17.7,1.1,0.0,,9.1,,1004.7,
2024-07-29,12.4,11.6,14.3,4.9,0.0,,11.7,,1001.0,
2024-07-30,12.6,9.9,16.0,1.2,0.0,,7.5,,1002.1,
2024-07-31,15.5,11.0,19.9,0.0,0.0,,9.2,,1010.9,
2024-08-01,15.9,11.0,20.5,0.0,0.0,,13.1,,1018.6,
2024-08-02,15.6,12.7,18.8,0.0,0.0,,13.8,,1023.2,
2024-08-03,13.5,11.6,16.0,0.0,0.0,,9.1,,1026.5,
2024-08-04,15.3,12.1,19.9,0.0,0.0,,3.6,,1023.8,
2024-08-05,17.0,10.5,23.8,3.1,0.0,,9.1,,1014.3,
2024-08-06,16.0,14.3,20.5,21.2,0.0,,10.7,,1013.2,
2024-08-07,14.8,13.8,16.0,25.5,0.0,,6.0,,1014.4,
2024-08-08,13.7,13.2,14.3,32.6,0.0,,5.2,,1013.1,
2024-08-09,12.7,11.0,17.1,0.2,0.0,,12.1,,1013.2,
2024-08-10,10.3,8.2,12.1,10.0,0.0,,14.0,,1012.6,
2024-08-11,11.0,8.8,13.8,21.7,0.0,,8.8,,1003.7,
2024-08-12,11.2,9.9,12.7,4.0,0.0,,6.4,,1014.1,
2024-08-13,11.7,7.7,16.0,0.0,0.0,,3.7,,1018.3,
