time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city,month,month_name,season,weekend
2023-01-01,5.1,0.8,8.0,0.3,0.0,,2.2,,1019.1,,Seattle,1,January,Winter,Yes
2023-01-02,3.3,-0.9,9.7,0.0,0.0,,7.5,,1007.9,,Seattle,1,January,Winter,No
2023-01-03,4.7,1.9,8.6,0.0,0.0,,5.6,,1010.4,,Seattle,1,January,Winter,No
2023-01-04,7.1,2.5,10.3,0.5,0.0,,8.7,,1007.7,,Seattle,1,January,Winter,No
2023-01-05,11.6,9.7,14.1,0.0,0.0,,17.2,,999.8,,Seattle,1,January,Winter,No
2023-01-06,8.1,4.1,10.3,3.0,0.0,,6.4,,1014.4,,Seattle,1,January,Winter,No
2023-01-07,6.9,3.6,8.0,7.1,0.0,,2.6,,1010.3,,Seattle,1,January,Winter,Yes
2023-01-08,6.0,1.9,9.1,7.6,0.0,,6.3,,1004.4,,Seattle,1,January,Winter,Yes
2023-01-09,7.7,3.0,11.9,6.9,0.0,,10.4,,1001.0,,Seattle,1,January,Winter,No
2023-01-10,7.6,5.3,10.8,0.0,0.0,,5.6,,1003.4,,Seattle,1,January,Winter,No
2023-01-11,9.3,6.4,13.6,2.3,0.0,,7.0,,1010.4,,Seattle,1,January,Winter,No
2023-01-12,9.4,7.5,11.4,11.7,0.0,,9.5,,1010.6,,Seattle,1,January,Winter,No
2023-01-13,9.4,8.6,10.8,10.9,0.0,,7.3,,1006.7,,Seattle,1,January,Winter,No
2023-01-14,10.1,5.8,14.7,1.5,0.0,,6.8,,997.4,,Seattle,1,January,Winter,Yes
2023-01-15,7.3,4.7,8.6,10.7,0.0,,6.9,,994.3,,Seattle,1,January,Winter,Yes
2023-01-16,6.3,3.6,9.7,0.0,0.0,,11.1,,1006.5,,Seattle,1,January,Winter,No
2023-01-17,6.5,4.1,8.6,2.0,0.0,,13.2,,1013.4,,Seattle,1,January,Winter,No
2023-01-18,5.9,3.6,7.5,4.6,0.0,,11.3,,1012.1,,Seattle,1,January,Winter,No
2023-01-19,3.5,0.8,5.3,0.0,0.0,,5.2,,1027.8,,Seattle,1,January,Winter,No
2023-01-20,4.1,1.4,7.5,0.0,0.0,,2.7,,1032.4,,Seattle,1,January,Winter,No
2023-01-21,1.9,-1.4,5.3,3.3,0.0,,8.3,,1023.7,,Seattle,1,January,Winter,Yes
2023-01-22,3.7,0.8,6.4,0.0,0.0,,2.1,,1030.9,,Seattle,1,January,Winter,Yes
2023-01-23,3.8,1.4,7.5,0.0,0.0,,3.6,,1033.2,,Seattle,1,January,Winter,No
2023-01-24,5.0,2.5,6.9,0.0,0.0,,9.0,,1035.7,,Seattle,1,January,Winter,No
2023-01-25,6.9,5.8,8.0,0.0,0.0,,2.8,,1039.6,,Seattle,1,January,Winter,No
2023-01-26,5.4,4.1,6.4,0.0,0.0,,7.4,,1036.0,,Seattle,1,January,Winter,No
2023-01-27,7.3,5.3,8.6,2.5,0.0,,6.1,,1023.5,,Seattle,1,January,Winter,No
2023-01-28,5.2,0.8,6.9,2.0,0.0,,3.6,,1021.1,,Seattle,1,January,Winter,Yes
2023-01-29,0.8,-2.5,4.1,0.0,0.0,,2.7,,1031.4,,Seattle,1,January,Winter,Yes
2023-01-30,-1.1,-5.9,3.6,0.0,0.0,,2.1,,1030.6,,Seattle,1,January,Winter,No
2023-01-31,1.7,-0.9,4.7,0.0,0.0,,2.9,,1024.4,,Seattle,1,January,Winter,No
2023-02-01,3.3,-0.9,8.6,0.0,0.0,,4.7,,1021.0,,Seattle,2,February,Winter,No
2023-02-02,4.2,-2.0,11.4,0.0,0.0,,9.8,,1020.0,,Seattle,2,February,Winter,No
