time,city,daily_sales
2023-01-01,Seattle,3271.8
2023-01-02,Seattle,1636.5
2023-01-03,Seattle,1637.9
2023-01-04,Seattle,1640.8
2023-01-05,Seattle,1644.8
2023-01-06,Seattle,1644.3
2023-01-07,Seattle,3280.4
2023-01-08,Seattle,3280.0
2023-01-09,Seattle,1647.8
2023-01-10,Seattle,1640.8
2023-01-11,Seattle,1644.8
2023-01-12,Seattle,1654.3
2023-01-13,Seattle,1653.5
2023-01-14,Seattle,3278.0
2023-01-15,Seattle,3284.4
2023-01-16,Seattle,1639.5
2023-01-17,Seattle,1641.7
2023-01-18,Seattle,1643.7
2023-01-19,Seattle,1636.7
2023-01-20,Seattle,1637.3
2023-01-21,Seattle,3271.6
2023-01-22,Seattle,3270.1
2023-01-23,Seattle,1637.0
2023-01-24,Seattle,1638.2
2023-01-25,Seattle,1640.1
2023-01-26,Seattle,1638.6
2023-01-27,Seattle,1643.0
2023-01-28,Seattle,3273.6
2023-01-29,Seattle,3267.2
2023-01-30,Seattle,1632.1
2023-01-31,Seattle,1634.9
2023-02-01,Seattle,1636.5
2023-02-02,Seattle,1637.4
2023-02-03,Seattle,1644.9
2023-02-04,Seattle,3278.0
2023-02-05,Seattle,3275.5
2023-02-06,Seattle,1641.1
2023-02-07,Seattle,1650.9
2023-02-08,Seattle,1639.1
2023-02-09,Seattle,1644.0
2023-02-10,Seattle,1641.5
2023-02-11,Seattle,3272.3
2023-02-12,Seattle,3271.7
2023-02-13,Seattle,1647.4
2023-02-14,Seattle,1635.3
2023-02-15,Seattle,1634.9
2023-02-16,Seattle,1637.2
2023-02-17,Seattle,1644.0
2023-02-18,Seattle,3272.5
2023-02-19,Seattle,3274.3
2023-02-20,Seattle,1646.7
2023-02-21,Seattle,1639.4
2023-02-22,Seattle,1634.9
2023-02-23,Seattle,1632.1
2023-02-24,Seattle,1632.1
2023-02-25,Seattle,3267.2
2023-02-26,Seattle,3276.2
2023-02-27,Seattle,1639.5
2023-02-28,Seattle,1636.7
2023-03-01,Seattle,2452.8
2023-03-02,Seattle,2459.0
2023-03-03,Seattle,2459.2
2023-03-04,Seattle,4913.5
2023-03-05,Seattle,4910.3
2023-03-06,Seattle,2454.5
2023-03-07,Seattle,2456.3
2023-03-08,Seattle,2453.3
2023-03-09,Seattle,2454.8
2023-03-10,Seattle,2460.3
2023-03-11,Seattle,4906.8
2023-03-12,Seattle,4910.0
2023-03-13,Seattle,2466.5
