Price,SquareFootage,NumBathrooms,CrimeRate,SchoolRating,RenovationQuality,LocalAmenities,DistanceToCityCenter,Garage
103375.7614,645.52,1.522775532,29.06,6.4,3.14,4.92,11.87,0
316030.1699,1420.92,1.0,10.64,6.23,2.3,9.03,0.07,1
333690.06,1717.65,3.469669949,0.06,10.0,6.05,7.0,1.88,0
122305.3568,706.56,1.746485857,4.16,7.33,2.78,3.64,6.27,0
351798.8598,1038.32,2.146735189,32.96,6.04,5.34,6.39,28.09,1
676922.4903,1701.95,3.364477398,25.54,6.74,6.56,2.05,25.17,0
277316.3525,1276.24,3.271452228,32.61,8.48,6.12,9.39,14.37,1
188922.9338,1117.43,2.398695573,32.53,7.09,3.7,10.0,31.63,0
191607.2181,550.0,1.364638817,11.66,6.18,1.06,2.21,21.57,0
180729.6457,714.11,1.0,63.03,4.41,1.6,7.66,12.01,1
111788.6598,739.26,1.242991217,20.04,3.37,1.51,7.4,19.8,0
198941.9264,550.0,2.593593405,21.65,7.69,9.34,9.89,10.93,1
239464.1044,733.87,2.063996483,61.01,1.77,5.97,1.08,15.59,0
222228.9304,920.51,2.436317283,49.18,4.63,2.51,4.99,15.46,1
252241.3202,550.0,2.836823214,28.43,4.18,2.66,9.23,20.45,0
155707.1319,550.0,2.304389506,25.07,6.46,5.77,5.33,20.29,0
160019.0332,721.17,1.439066744,73.48,5.39,3.73,7.55,11.94,0
421588.8578,663.23,2.851278161,0.32,8.05,6.14,6.63,19.92,0
152376.5716,701.73,1.603980999,51.91,6.36,4.03,7.87,24.89,0
210733.5129,1099.16,1.0,30.78,6.74,4.15,4.07,6.23,1
105041.6445,920.23,1.322823373,56.68,5.81,6.01,7.23,27.16,1
216972.8449,1131.43,1.048292917,44.31,7.86,5.61,4.86,12.07,1
385041.5546,957.8,1.0,6.13,7.89,5.16,6.73,0.4,0
424385.0666,1834.27,1.0,5.16,7.01,5.3,6.49,8.93,1
335869.6815,1737.13,1.0,18.63,5.96,3.77,5.81,10.4,1
430556.8472,1092.09,3.094975276,42.45,6.47,6.33,3.6,6.16,0
153297.265,1037.35,2.189285761,48.03,5.76,4.63,8.73,41.71,0
312456.8833,709.99,2.171777158,34.29,6.29,5.3,7.16,21.73,0
506890.4558,1923.32,3.278186737,13.18,5.55,7.6,7.72,10.15,0
390605.9215,699.29,2.686783066,41.17,7.97,2.7,3.97,28.96,0
430310.8257,896.81,2.806979293,50.41,8.49,3.55,3.82,25.7,1
769797.5161,1550.36,3.563099021,38.6,7.86,8.64,10.0,16.6,0
256978.3221,680.49,1.472733342,35.27,5.03,2.77,3.73,5.76,0
205562.6791,747.49,1.418893522,26.54,7.83,5.32,5.26,13.38,0
318949.998,988.48,1.478648763,1.22,4.51,4.09,8.59,20.55,0
167546.7668,826.35,1.0,13.62,6.84,4.99,0.12,9.4,0
274558.259,1309.65,2.232045617,32.23,8.5,4.89,1.43,6.49,0
122660.0682,756.5,2.186455213,24.76,7.0,5.71,7.66,9.44,0
654180.6485,1460.44,2.555357801,35.64,10.0,8.99,10.0,2.86,0
121486.5873,956.19,1.0,6.59,7.24,4.81,2.13,3.54,0
279893.0825,564.94,2.93355964,26.65,6.3,5.98,5.46,13.27,0
410816.4987,1877.32,1.150800222,33.74,7.77,4.08,5.17,18.95,0
490495.3436,780.23,4.473925186,48.52,5.77,5.87,3.65,27.49,0
399436.5842,934.62,2.692480129,20.06,9.68,5.27,7.01,10.88,0
206029.5987,1004.05,2.900746272,16.66,6.11,4.07,3.72,1.58,0
222198.5451,550.0,1.534321988,41.79,7.01,1.39,1.04,38.42,1
273015.0238,1354.92,2.777247179,22.32,4.64,5.09,4.09,4.67,0
248308.2316,1151.07,1.70946631,41.12,8.01,6.21,10.0,8.42,0
353108.2819,1104.28,2.867132663,8.22,5.27,4.99,9.21,21.36,1
353173.3423,1331.78,1.337384367,25.41,6.11,4.01,5.22,22.1,1
244280.9675,1253.07,1.0,17.68,9.58,6.18,6.57,4.32,0
191113.1065,670.27,2.49452896,46.63,5.4,2.81,6.27,15.59,1
277617.8096,1029.17,1.0,26.44,4.85,2.74,10.0,16.92,0
521223.2561,1747.75,2.076796876,20.41,8.18,5.14,10.0,7.77,1
103947.6295,550.0,1.0,12.0,6.75,0.86,9.59,18.71,1
171418.0448,1272.98,1.0,44.4,3.51,2.58,2.82,10.51,0
275311.908,1608.98,1.331963555,18.83,8.7,4.41,5.39,4.8,0
333708.0442,627.24,1.0,12.23,6.75,5.32,7.31,16.99,1
306202.9736,550.0,1.369239433,59.26,5.66,0.37,8.64,5.98,0
180247.7314,1614.37,1.0,70.17,5.97,4.97,0.15,16.46,0
397236.8931,1368.21,2.476029549,49.94,6.58,4.97,6.73,6.13,1
160304.1753,748.56,1.0,46.92,8.99,4.81,10.0,35.37,0
682875.7818,1940.29,3.219858113,61.26,7.0,3.66,6.69,19.52,0
393215.7564,550.0,2.562340726,6.83,5.72,6.13,7.02,2.0,0
166673.7965,925.34,1.018620531,42.58,6.9,5.03,4.59,15.1,0
630994.2869,1654.51,3.135423706,45.26,7.41,5.41,7.02,30.95,0
