IsLuxury,SquareFootage,NumBathrooms,CrimeRate,SchoolRating,RenovationQuality,LocalAmenities,DistanceToCityCenter,Garage_Yes
0,1325.57,2.663115352,2.07,9.06,7.06,5.73,24.83,False
1,1113.87,3.547823773,36.02,6.17,3.77,3.01,0.82,False
1,1811.08,2.098724758,57.76,10.0,7.12,6.17,18.66,False
1,805.96,2.191173501,47.19,7.35,6.17,8.76,30.4,False
0,976.06,2.239183074,10.8,6.02,3.32,7.42,13.46,True
0,550.0,2.187367358,48.45,8.59,6.36,10.0,29.88,False
0,707.65,2.453391282,37.73,4.75,7.82,5.62,9.3,False
1,1467.32,1.166838317,11.02,7.79,5.6,1.98,19.82,False
0,679.29,1.0,24.35,2.83,0.64,4.91,17.88,False
0,960.83,2.062982041,45.95,9.23,4.91,2.12,11.82,False
0,769.45,3.163201336,30.9,3.44,5.54,2.16,18.28,True
0,576.65,2.97330905,26.53,3.78,1.89,3.47,29.33,False
1,1604.98,3.553861449,56.09,5.58,3.43,7.49,12.33,False
1,959.52,4.171585155,43.99,10.0,4.63,3.24,6.79,False
0,1610.1,1.343067628,61.7,4.85,5.64,4.54,9.59,False
1,696.62,1.058622749,40.39,5.32,4.3,6.92,17.66,False
1,550.0,1.766617348,35.2,4.59,3.61,6.98,3.57,True
1,1860.6,3.584327693,45.16,7.72,9.59,5.27,11.43,False
0,1655.49,2.058318642,9.66,5.15,3.8,2.95,6.03,True
1,1116.92,1.64082445,29.75,6.11,5.56,6.61,44.16,True
0,908.42,1.0,48.12,7.15,3.63,5.6,27.84,False
1,1318.16,4.38601389,2.85,9.07,6.77,7.27,1.5,False
1,637.96,1.668226322,19.21,5.34,3.87,3.23,0.67,False
0,550.0,1.058823299,45.38,2.95,4.13,2.1,15.7,False
0,945.51,2.408829723,4.92,9.8,6.9,4.82,12.59,True
1,2275.85,2.98733692,64.88,5.17,4.96,6.62,23.25,False
0,1062.03,2.554509378,35.38,7.43,6.07,4.79,33.31,True
1,1778.46,1.0,63.4,8.52,5.5,4.95,3.29,True
1,785.06,1.450224529,51.01,5.64,4.97,6.21,18.88,False
0,550.0,1.18557398,31.68,6.91,0.89,2.05,34.65,False
0,550.0,1.0,8.17,9.28,7.58,4.87,22.25,True
1,2130.18,2.93334629,49.58,10.0,8.99,4.24,3.59,False
0,1887.43,2.436197581,33.59,7.72,5.94,7.46,5.21,True
1,1748.79,3.965920533,42.26,9.54,8.72,5.57,23.17,True
0,1672.22,3.664116677,60.17,8.79,4.64,6.92,11.15,True
1,1380.15,2.381345072,50.0,7.07,5.77,6.45,4.18,False
1,1199.76,3.438765492,5.69,7.89,3.54,4.33,24.31,True
1,1432.2,2.695580743,33.01,6.95,7.66,5.44,5.12,False
1,1168.86,2.429073895,37.34,5.84,6.55,6.3,19.61,True
1,645.07,2.012936551,15.49,8.49,7.87,9.51,25.89,False
1,1755.32,2.403515741,29.83,10.0,6.9,9.87,9.56,False
0,720.82,1.809550305,33.01,5.59,5.39,6.61,18.36,False
1,1331.78,1.337384367,25.41,6.11,4.01,5.22,22.1,True
0,550.0,3.818378675,18.59,8.56,3.34,6.18,23.3,True
1,669.39,2.790546087,13.22,7.03,7.87,6.25,19.64,False
1,1302.97,3.297728932,47.03,10.0,7.81,7.52,39.79,True
0,1885.27,1.0,34.29,6.92,3.69,5.07,29.06,True
0,550.0,1.995923924,44.28,6.59,2.77,7.48,13.79,False
0,1007.21,1.0,5.86,7.0,5.77,4.97,4.91,False
1,1393.1,2.702851865,20.57,7.23,7.51,9.87,21.89,True
1,615.46,1.285770194,49.67,7.48,3.83,0.05,31.83,True
0,1209.1,1.965199082,69.02,4.01,4.52,8.94,11.75,True
1,1433.79,3.326509396,31.27,7.21,7.45,5.07,51.55,True
1,611.55,2.680082585,35.99,4.26,4.57,5.04,51.3,False
0,858.03,1.136053684,25.54,6.49,7.56,2.57,45.22,False
1,1139.21,1.703168404,43.4,9.81,6.98,6.24,7.63,True
0,719.79,1.552025137,38.4,8.38,3.71,2.0,16.56,False
1,1365.18,2.109457614,18.31,7.49,5.53,6.29,31.81,True
1,1047.06,1.0,23.45,6.44,4.85,7.13,35.56,True
1,1498.46,3.019218421,23.68,9.52,6.29,7.12,20.49,False
1,1277.81,2.58903959,53.05,9.23,7.53,5.65,3.54,False
0,862.01,1.758235302,0.3,8.7,5.96,6.21,4.06,False
1,1451.42,3.155909723,50.98,5.63,3.3,10.0,14.36,False
0,1197.67,1.376647524,33.34,7.26,6.51,7.02,20.22,True
0,759.17,1.814926688,23.92,7.11,1.09,1.18,15.39,False
0,843.57,1.312093736,47.61,5.9,6.05,9.84,32.61,False
0,1438.23,4.013147031,1.28,7.86,9.72,10.0,19.48,False
1,1912.38,2.564632298,41.58,10.0,6.25,7.71,14.38,False
0,550.0,1.287251503,56.21,7.16,4.15,2.27,33.14,False
0,550.0,1.0,59.3,5.4,3.87,7.3,21.33,True
1,550.0,2.424903324,20.47,8.59,3.77,5.33,9.02,True
1,795.54,1.559321969,27.53,9.54,6.24,4.31,0.76,False
1,1614.62,3.411054319,44.33,6.48,5.21,0.72,18.55,False
0,550.0,1.647929831,23.87,5.85,2.57,8.23,32.78,True
0,1333.9,2.664107348,47.77,6.25,6.27,4.64,0.8,False
1,1592.82,2.450304501,62.74,6.09,5.76,6.64,0.53,False
1,1004.32,1.224511224,42.14,4.85,3.27,5.45,2.72,True
1,1653.2,3.965119596,39.52,8.64,7.25,6.43,21.29,False
1,1164.87,1.938732806,64.9,7.22,5.22,6.07,8.81,True
0,943.11,2.144966864,38.12,7.46,3.25,7.08,21.59,False
1,1259.6,3.021256655,42.77,3.14,3.89,7.35,10.14,True
0,930.28,1.0,8.77,4.54,0.4,2.1,45.94,False
1,2019.13,4.588271561,60.23,9.34,7.91,10.0,25.37,True
1,1037.88,3.877598128,34.81,10.0,7.76,10.0,2.39,False
0,754.61,1.52018851,8.62,7.83,5.12,8.08,7.3,True
0,2047.85,2.056134273,28.65,9.13,5.55,6.04,4.53,True
0,550.0,3.042368646,44.36,5.44,2.41,4.4,30.79,True
0,550.0,1.0,69.23,5.86,1.66,3.14,25.78,False
1,697.13,2.22242201,68.64,7.91,4.19,7.66,10.78,True
0,845.78,1.711690538,17.02,7.55,4.71,5.38,33.88,False
1,1505.89,4.53161158,7.73,8.18,4.97,5.64,0.56,False
1,550.0,2.036535458,63.65,6.55,5.23,5.77,18.97,True
0,986.24,1.0,25.64,6.96,2.81,9.92,46.58,True
0,793.69,1.971337948,34.47,10.0,7.44,1.15,5.14,True
0,1886.86,3.057287431,19.25,10.0,6.83,9.12,11.76,False
1,1284.04,2.449250414,44.01,7.92,4.18,7.55,10.13,True
0,1004.76,1.380654948,30.1,3.89,3.56,0.66,21.78,True
1,1028.15,5.330559305,2.21,9.55,9.42,4.8,13.38,True
1,645.66,1.669361529,2.05,6.79,5.16,4.77,2.1,True
1,1009.88,4.172887365,53.47,6.14,6.75,5.33,10.29,False
1,1287.61,3.128888742,51.53,9.54,7.33,7.03,10.76,False
1,1701.34,1.086999666,57.15,7.52,6.46,7.47,5.43,False
0,1067.85,1.0,19.06,5.16,6.22,10.0,5.59,False
1,1837.46,1.713597034,29.17,6.98,3.92,4.38,3.2,False
1,1502.76,2.975266318,34.63,3.8,8.57,3.2,11.42,False
1,550.0,2.443151137,14.52,8.0,5.24,10.0,1.65,True
0,1475.33,1.950973549,42.45,5.72,6.3,2.63,35.53,False
1,1889.24,1.97020377,28.61,8.85,7.48,2.61,13.88,False
1,1159.38,2.548934444,44.69,8.09,5.51,5.77,6.4,False
1,1181.63,1.41559203,59.36,5.35,4.26,5.01,0.06,True
1,1100.96,2.456372441,55.11,6.96,5.67,5.98,21.15,True
1,1185.79,2.393803022,28.16,5.6,3.26,6.21,14.13,True
1,1205.61,2.38399826,62.46,10.0,8.02,10.0,23.97,True
1,1044.76,1.349726506,15.61,4.38,4.38,4.08,26.91,False
1,1228.22,1.170578934,46.21,6.75,6.11,5.28,8.46,False
0,1129.07,1.349067904,63.29,6.64,0.21,5.44,29.09,False
0,1200.2,2.100130974,1.67,5.92,2.88,3.48,0.78,False
0,1207.69,1.032576966,29.0,6.62,0.09,7.35,19.98,False
0,1346.98,1.353651097,9.14,5.22,3.43,9.54,1.96,True
0,550.0,1.854716057,7.15,7.11,5.49,9.99,27.62,False
1,1313.96,2.627919923,28.45,9.69,3.52,5.01,2.65,False
0,550.0,3.741100945,15.53,6.68,4.35,0.7,1.6,False
1,1117.64,2.509751132,21.99,7.76,9.65,5.81,6.9,False
0,550.0,1.979070985,61.35,5.33,4.8,10.0,17.55,False
0,939.03,1.26769942,50.24,9.02,7.15,4.04,27.9,True
