SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Windows,PreviousSalePrice,Garage
566.62,1.0,4,779.42,20.56,5.62,39.46,10.08,97.29,1.84,4.93,4.44,4.55,13,181861.5423,0
1472.34,1.0,2,656.13,15.62,5.63,40.51,7.89,93.22,0.95,4.08,5.56,6.83,17,50042.59757,0
550.0,1.779354157,3,754.57,12.47,9.2,48.38,23.74,96.6,1.87,4.26,8.07,8.48,34,48400.3444,1
941.81,2.035254196,2,439.59,22.22,7.08,94.67,5.22,91.45,1.45,4.45,5.0,6.27,14,84594.12145,0
550.0,1.064643868,3,353.03,8.28,5.93,16.8,43.13,86.5,1.26,3.36,5.46,6.99,21,22934.59654,1
1474.99,1.857532493,2,774.45,25.39,4.92,57.62,19.71,94.71,1.49,6.15,0.98,1.9,36,160664.1315,1
1069.49,1.230458103,3,757.58,37.84,4.4,46.86,5.73,80.9,1.57,5.82,4.25,5.12,10,89824.60649,0
550.0,1.0,1,636.64,48.26,4.32,60.29,11.35,94.18,0.72,5.81,5.43,6.03,15,177283.1961,1
550.0,1.0,4,603.68,5.03,5.78,104.34,42.05,98.26,2.35,3.54,7.12,6.4,19,53649.98602,1
983.26,1.0,2,206.33,24.37,5.18,50.91,31.04,94.04,1.84,7.19,9.72,9.73,9,177535.5475,1
550.0,2.612040899,2,885.44,20.75,7.82,9.04,26.83,93.05,2.23,6.81,8.01,5.25,2,2581.502071,1
550.0,3.179906914,2,739.97,80.69,4.65,83.67,20.2,98.29,1.65,4.54,6.83,6.14,23,187774.5972,1
550.0,1.200385725,3,610.78,36.83,7.51,57.32,20.71,93.03,0.82,2.67,4.12,4.37,11,107113.7257,1
550.0,2.055341358,2,112.89,44.62,7.09,21.95,1.99,95.22,2.11,4.89,6.42,5.74,8,22.79598469,0
877.78,1.722079433,2,953.4,44.48,7.0,41.11,26.65,99.31,0.69,2.67,6.32,6.32,2,200715.5873,0
550.0,2.893456568,2,857.44,4.75,7.78,21.55,23.4,99.9,1.52,4.89,6.68,7.14,10,37017.79751,0
550.0,2.248925239,3,113.65,35.26,5.58,7.66,14.02,88.03,1.21,4.61,5.5,7.44,22,114571.547,1
691.89,1.016691422,2,569.96,43.26,6.49,54.11,25.93,98.27,1.37,4.74,4.29,4.6,2,180119.4986,0
1120.08,2.350677951,2,980.87,49.98,3.55,18.34,10.21,99.9,1.94,3.51,9.09,5.45,14,92154.62183,0
550.0,1.0,5,757.75,24.83,7.71,74.56,12.18,96.38,0.35,5.13,6.22,6.26,16,23568.32037,1
616.33,1.0,3,705.33,11.24,4.76,24.69,29.21,95.34,1.16,4.84,6.17,5.29,16,100909.5214,0
666.6,1.0,1,186.59,68.88,6.52,7.62,36.98,89.53,1.61,1.16,1.74,2.89,4,79309.3064,0
550.0,1.0,3,272.3,27.42,4.44,7.61,9.93,92.87,2.27,3.76,7.98,3.28,16,85251.07949,1
1060.69,2.635554385,2,383.62,65.99,8.79,24.69,8.8,85.0,1.41,2.5,5.97,7.44,19,242828.0648,1
550.0,1.0,3,934.49,18.12,3.52,38.92,34.32,90.02,1.29,0.78,10.0,8.05,2,-850.6548876,1
1029.81,2.156653345,2,24.46,27.11,5.0,85.69,15.79,96.63,1.55,5.09,5.67,3.77,16,241830.8696,0
747.49,1.418893522,3,1166.44,26.54,7.83,21.61,13.38,95.46,1.78,5.32,5.26,5.3,15,176512.8657,0
554.35,1.076686559,3,198.32,31.51,6.56,80.3,8.17,85.1,1.34,4.28,7.04,4.82,9,47422.38379,1
1408.19,1.430931531,2,559.88,17.19,5.76,35.65,5.99,87.61,0.24,3.52,1.8,6.1,12,228576.1636,0
732.5,1.626907461,3,149.54,18.9,6.6,41.2,27.82,72.05,1.49,4.61,2.7,5.4,21,138102.8122,0
996.16,2.213232111,2,368.3,35.72,5.36,27.83,12.22,87.55,2.04,2.83,1.74,4.29,17,219650.7324,0
583.25,3.852464259,1,503.48,34.81,6.63,24.36,26.0,96.16,1.89,4.47,6.5,4.65,16,124303.9335,0
550.0,3.447562831,2,604.13,9.3,5.59,18.49,21.06,92.7,1.51,5.1,6.74,7.78,21,251942.6485,1
721.17,1.439066744,4,209.36,73.48,5.39,11.6,11.94,96.98,1.32,3.73,7.55,4.77,19,106659.6535,0
755.33,1.410790541,3,645.2,41.03,7.33,118.89,25.81,91.78,2.14,2.23,2.17,3.02,20,1043.931448,0
550.0,2.344320127,3,846.59,39.09,6.84,105.21,16.57,96.5,1.6,3.21,5.69,5.39,23,100023.1061,1
550.0,3.276958827,4,402.0,30.64,3.26,10.23,7.41,90.59,2.03,4.22,5.11,4.8,3,235030.3987,0
550.0,1.969044145,3,730.12,47.64,3.51,80.17,39.09,92.23,1.52,3.21,4.24,8.74,13,-2159.199171,1
1059.87,1.847018668,2,839.43,16.47,4.71,42.99,22.79,86.82,1.41,4.31,3.74,5.73,18,179158.7843,1
854.32,1.0,3,87.62,18.81,4.98,122.77,27.28,92.06,1.79,2.35,3.63,7.06,45,18275.2928,0
1179.53,2.652646511,3,242.2,30.89,7.96,105.03,18.42,94.89,1.84,3.17,9.07,3.57,13,373278.0855,0
748.96,1.0,3,488.79,18.0,5.72,71.87,10.13,88.03,1.95,6.02,9.7,4.01,29,138998.9321,1
666.73,2.367301824,2,658.54,30.58,4.24,28.32,21.11,92.79,2.02,4.35,9.26,8.65,13,128237.968,1
1454.19,3.084477983,1,640.5,10.7,8.36,80.34,7.35,88.73,1.9,5.34,5.28,6.32,12,142388.0598,0
701.73,1.603980999,3,722.35,51.91,6.36,39.1,24.89,99.9,1.86,4.03,7.87,5.18,10,48779.107,0
757.7,2.438445708,2,314.53,20.76,9.81,56.33,7.18,99.47,1.37,4.15,4.63,4.78,40,154916.1763,1
550.0,1.0,3,576.18,50.25,5.63,1.6,18.78,91.75,1.86,1.27,6.83,5.66,11,381.1989165,0
550.0,2.766672323,2,382.59,25.47,7.55,115.79,24.57,93.9,1.72,3.47,8.45,9.46,29,215962.4519,0
732.21,2.389982559,2,102.03,0.35,6.63,20.33,19.03,91.18,1.26,3.02,3.0,5.53,21,164179.0173,0
735.97,1.0,4,144.0,43.21,5.99,90.38,45.42,98.31,2.02,3.53,1.57,6.18,9,143456.558,0
1423.83,2.126659257,1,62.69,35.01,6.37,64.17,28.83,97.52,1.37,3.42,4.43,7.05,15,185449.727,0
899.53,2.985726622,3,328.43,4.05,9.92,27.81,16.74,93.74,0.62,5.61,9.12,8.23,50,279262.1358,0
1608.13,1.0,4,751.05,33.09,5.65,37.3,7.78,97.45,1.22,5.52,6.77,5.52,42,281459.367,1
862.32,3.684301142,1,224.59,0.17,6.17,13.28,38.71,94.91,0.98,2.85,2.7,7.75,29,222800.7207,1
550.0,1.887114507,2,1101.84,8.17,6.92,20.42,9.71,97.61,1.07,5.38,9.74,5.44,16,4456.296767,0
862.01,1.758235302,2,249.1,0.3,8.7,33.68,4.06,87.54,1.23,5.96,6.21,5.3,16,87417.61365,0
550.0,1.0,4,492.37,37.45,5.9,53.11,11.73,87.58,1.69,2.16,6.13,3.42,13,59000.08929,0
940.02,2.292306875,2,595.3,17.77,5.49,16.67,9.26,99.9,1.34,2.44,6.77,6.99,16,76085.04288,0
550.0,2.061927122,3,136.88,25.14,4.1,98.56,22.28,90.32,2.47,1.52,5.18,3.0,15,20875.65572,0
550.0,1.107970784,5,244.84,44.41,9.15,42.51,9.59,87.68,2.05,7.13,0.42,2.25,26,68329.73167,1
989.32,1.189819741,4,525.88,21.41,7.99,50.54,30.11,89.56,1.55,3.33,0.99,0.01,16,137862.4402,0
550.0,1.748838273,2,279.77,23.71,6.43,10.11,29.45,88.13,1.2,3.99,3.9,3.69,15,24010.94675,0
1135.53,1.0,3,638.61,39.12,8.08,21.53,28.42,93.83,1.13,3.91,3.79,5.77,18,90044.63194,0
826.35,1.0,2,667.2,13.62,6.84,52.03,9.4,91.92,0.42,4.99,0.12,5.12,18,160419.296,0
1161.75,1.464104387,4,927.64,16.95,10.0,101.8,8.48,89.06,1.09,4.65,2.29,5.76,22,387123.6983,0
972.44,1.151764321,3,181.58,72.18,7.29,38.06,35.95,94.53,1.51,4.36,3.3,7.42,21,191925.6804,0
636.83,2.224104889,3,195.19,1.6,7.65,21.26,25.34,94.62,1.94,6.28,4.35,7.39,14,267340.8848,0
1281.0,1.026502113,2,12.43,18.25,5.64,18.85,11.84,94.81,1.49,3.05,6.22,7.54,10,151408.9427,0
736.55,1.461133734,2,458.72,33.88,9.02,48.02,7.02,91.84,1.74,5.55,10.0,8.33,16,-3876.394708,1
998.18,2.025042343,5,358.05,4.74,6.82,79.88,4.86,83.21,1.79,5.07,5.78,7.13,19,344306.9524,0
1487.28,1.0,3,160.18,15.28,7.12,64.99,9.46,95.94,1.49,6.06,8.25,5.63,28,221990.5057,0
550.0,1.0,3,68.17,63.39,4.12,46.67,3.82,85.23,1.82,3.23,6.63,7.72,16,175721.8305,0
550.0,1.502869262,2,349.55,39.72,4.56,107.8,21.23,92.7,1.51,5.93,6.95,8.36,23,129518.3305,1
1347.17,1.0,4,376.98,20.52,6.27,30.51,24.99,88.96,0.64,2.67,5.99,4.39,6,161970.1401,0
1113.68,1.655995692,3,911.15,7.55,10.0,74.51,16.44,87.11,1.01,7.8,3.89,3.93,38,313352.88,0
550.0,2.512785685,3,527.12,22.66,6.29,14.44,47.86,96.2,1.25,4.34,2.45,5.1,14,159308.6831,1
852.25,1.0,2,522.58,83.85,3.93,149.93,22.48,89.69,1.66,5.26,7.6,4.31,19,29838.92482,1
916.71,1.389641144,3,579.87,28.83,4.29,27.64,8.22,83.99,1.95,3.33,1.44,4.74,18,151737.7956,0
794.53,2.09065174,1,510.42,6.72,6.92,22.19,33.23,92.87,1.08,4.86,5.09,4.66,26,40286.07127,0
1156.67,1.930554319,3,484.04,30.35,7.04,60.91,14.63,99.9,1.14,2.17,3.12,4.2,25,373250.4189,0
1420.65,3.002882093,2,897.0,25.05,8.02,125.22,0.55,99.9,1.57,5.41,7.22,7.87,13,292933.0497,1
806.38,1.192640201,3,833.94,15.79,3.63,93.14,37.27,89.26,1.33,3.31,5.88,3.69,13,169236.9098,1
550.0,1.814669984,4,802.1,17.39,7.88,74.58,21.37,82.0,2.57,3.19,2.75,6.76,10,207038.5091,0
550.0,2.322188274,2,406.06,28.88,5.19,54.2,20.71,96.16,1.3,3.94,4.65,2.85,25,40438.92549,1
853.71,1.0,1,319.26,42.17,2.78,37.3,17.74,96.17,0.83,1.46,5.1,5.17,13,151186.7165,0
946.9,1.165890982,3,596.87,25.8,6.08,120.73,26.67,97.35,1.82,1.35,5.44,5.06,28,38906.05314,1
1030.3,1.548419507,3,248.55,28.43,5.41,50.32,1.85,98.05,1.96,1.02,5.83,5.79,12,140904.0933,1
550.0,2.217590745,4,65.08,42.04,5.86,116.05,20.0,86.07,1.57,1.47,7.12,7.31,12,183307.6768,0
550.0,1.0,1,716.74,17.56,3.36,71.11,21.42,84.46,1.5,2.2,8.13,6.16,8,184556.5177,1
1065.11,3.574403809,4,950.21,37.43,6.85,77.58,18.98,91.82,1.58,6.38,8.57,8.38,13,419170.9819,0
550.0,2.496751928,3,656.92,56.88,6.69,62.6,39.67,85.59,2.09,4.39,2.51,5.89,5,110679.685,1
550.0,2.27419848,3,310.37,33.49,5.49,49.59,18.33,99.9,1.4,3.49,3.11,5.7,8,171259.3521,0
826.08,3.119365868,2,340.94,70.57,3.63,7.51,8.48,91.82,1.66,0.34,7.35,5.7,7,109298.8332,0
550.0,1.686046962,3,140.94,24.9,7.52,31.11,24.4,95.55,1.73,4.98,5.01,4.66,7,44002.73589,0
1017.03,3.680326224,2,478.38,23.05,6.78,80.57,10.37,99.9,2.71,4.46,8.72,4.62,19,169135.407,1
550.0,1.699870206,2,433.46,42.42,5.69,59.29,44.73,97.08,1.93,1.17,1.62,3.48,13,132360.3442,1
1133.6,2.093666497,3,396.68,46.01,5.12,63.23,25.22,93.79,1.05,3.41,2.46,5.63,8,262243.3169,1
550.0,1.766305313,4,434.12,72.52,7.95,73.42,39.25,99.9,1.17,3.95,4.2,4.87,23,107219.9294,0
1136.23,1.88214982,4,634.95,54.97,6.07,19.17,6.92,95.79,1.72,5.6,5.85,4.8,7,324830.0812,0
786.83,1.48678955,5,459.72,33.12,7.45,65.18,8.71,99.33,0.63,4.81,7.53,10.0,20,342677.9211,0
648.96,1.0,4,817.19,21.12,5.83,18.85,3.02,98.19,1.51,2.09,3.67,6.65,17,18473.72053,0
550.0,2.128441855,3,242.04,55.31,2.58,49.47,16.98,90.5,1.59,1.55,0.03,5.25,21,151431.0376,1
