,SquareFootage,NumBathrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,PreviousSalePrice
0,566.62,1.0,779.42,20.56,5.62,39.46,10.08,97.29,1.84,4.93,4.44,181861.5423
1,1472.34,1.0,656.13,15.62,5.63,40.51,7.89,93.22,0.95,4.08,5.56,50042.59757
2,550.0,1.779354157,754.57,12.47,9.2,48.38,23.74,96.6,1.87,4.26,8.07,48400.3444
3,941.81,2.035254196,439.59,22.22,7.08,94.67,5.22,91.45,1.45,4.45,5.0,84594.12145
4,550.0,1.064643868,353.03,8.28,5.93,16.8,43.13,86.5,1.26,3.36,5.46,22934.59654
5,1474.99,1.857532493,774.45,25.39,4.92,57.62,19.71,94.71,1.49,6.15,0.98,160664.1315
6,1069.49,1.230458103,757.58,37.84,4.4,46.86,5.73,80.9,1.57,5.82,4.25,89824.60649
7,550.0,1.0,636.64,48.26,4.32,60.29,11.35,94.18,0.72,5.81,5.43,177283.1961
8,550.0,1.0,603.68,5.03,5.78,104.34,42.05,98.26,2.35,3.54,7.12,53649.98602
9,983.26,1.0,206.33,24.37,5.18,50.91,31.04,94.04,1.84,7.19,9.72,177535.5475
10,550.0,2.612040899,885.44,20.75,7.82,9.04,26.83,93.05,2.23,6.81,8.01,2581.502071
11,550.0,3.179906914,739.97,80.69,4.65,83.67,20.2,98.29,1.65,4.54,6.83,187774.5972
12,550.0,1.200385725,610.78,36.83,7.51,57.32,20.71,93.03,0.82,2.67,4.12,107113.7257
13,550.0,2.055341358,112.89,44.62,7.09,21.95,1.99,95.22,2.11,4.89,6.42,22.79598469
14,877.78,1.722079433,953.4,44.48,7.0,41.11,26.65,99.31,0.69,2.67,6.32,200715.5873
15,550.0,2.893456568,857.44,4.75,7.78,21.55,23.4,99.9,1.52,4.89,6.68,37017.79751
16,550.0,2.248925239,113.65,35.26,5.58,7.66,14.02,88.03,1.21,4.61,5.5,114571.547
17,691.89,1.016691422,569.96,43.26,6.49,54.11,25.93,98.27,1.37,4.74,4.29,180119.4986
18,1120.08,2.350677951,980.87,49.98,3.55,18.34,10.21,99.9,1.94,3.51,9.09,92154.62183
19,550.0,1.0,757.75,24.83,7.71,74.56,12.18,96.38,0.35,5.13,6.22,23568.32037
20,616.33,1.0,705.33,11.24,4.76,24.69,29.21,95.34,1.16,4.84,6.17,100909.5214
21,666.6,1.0,186.59,68.88,6.52,7.62,36.98,89.53,1.61,1.16,1.74,79309.3064
22,550.0,1.0,272.3,27.42,4.44,7.61,9.93,92.87,2.27,3.76,7.98,85251.07949
23,1060.69,2.635554385,383.62,65.99,8.79,24.69,8.8,85.0,1.41,2.5,5.97,242828.0648
24,550.0,1.0,934.49,18.12,3.52,38.92,34.32,90.02,1.29,0.78,10.0,-850.6548876
25,1029.81,2.156653345,24.46,27.11,5.0,85.69,15.79,96.63,1.55,5.09,5.67,241830.8696
26,747.49,1.418893522,1166.44,26.54,7.83,21.61,13.38,95.46,1.78,5.32,5.26,176512.8657
27,554.35,1.076686559,198.32,31.51,6.56,80.3,8.17,85.1,1.34,4.28,7.04,47422.38379
28,1408.19,1.430931531,559.88,17.19,5.76,35.65,5.99,87.61,0.24,3.52,1.8,228576.1636
29,732.5,1.626907461,149.54,18.9,6.6,41.2,27.82,72.05,1.49,4.61,2.7,138102.8122
30,996.16,2.213232111,368.3,35.72,5.36,27.83,12.22,87.55,2.04,2.83,1.74,219650.7324
31,583.25,3.852464259,503.48,34.81,6.63,24.36,26.0,96.16,1.89,4.47,6.5,124303.9335
32,550.0,3.447562831,604.13,9.3,5.59,18.49,21.06,92.7,1.51,5.1,6.74,251942.6485
33,721.17,1.439066744,209.36,73.48,5.39,11.6,11.94,96.98,1.32,3.73,7.55,106659.6535
34,755.33,1.410790541,645.2,41.03,7.33,118.89,25.81,91.78,2.14,2.23,2.17,1043.931448
35,550.0,2.344320127,846.59,39.09,6.84,105.21,16.57,96.5,1.6,3.21,5.69,100023.1061
36,550.0,3.276958827,402.0,30.64,3.26,10.23,7.41,90.59,2.03,4.22,5.11,235030.3987
37,550.0,1.969044145,730.12,47.64,3.51,80.17,39.09,92.23,1.52,3.21,4.24,-2159.199171
38,1059.87,1.847018668,839.43,16.47,4.71,42.99,22.79,86.82,1.41,4.31,3.74,179158.7843
39,854.32,1.0,87.62,18.81,4.98,122.77,27.28,92.06,1.79,2.35,3.63,18275.2928
40,1179.53,2.652646511,242.2,30.89,7.96,105.03,18.42,94.89,1.84,3.17,9.07,373278.0855
41,748.96,1.0,488.79,18.0,5.72,71.87,10.13,88.03,1.95,6.02,9.7,138998.9321
